,componentID,CA,Linkage,Axles,Lights,Seat,Radio,Guard,Fender,Bucket,Tires
0,source-1,,,,,,,,,,
1,source-2,,,,,,,,,,
2,source-3,,,,,,,,,99999.0,
3,source-4,,,,,,,,,,
4,source-5,,,,,,,,,,
5,source-6,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,,
6,source-7,,,,,99999.0,99999.0,,,,
7,source-8,,,,,,,,,,
8,source-9,,,,,,,,,,
9,source-10,,,,,,,,,,
10,source-11,,,,,,,,,,
11,source-12,,,,,,,,,,
12,source-13,,,,,,,,,,
13,source-14,,,,,,,,,,
14,source-15,,,,,,,,,,
15,source-16,,,,,,,,,,
16,source-17,99999.0,,99999.0,,,,99999.0,,99999.0,99999.0
17,source-18,,,,,,,,,,
18,source-19,,,,,,,,,,
19,source-20,,,,99999.0,,,,,,
20,source-21,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
21,source-22,,,,,,,,,,
22,source-23,,,,,,,,,,
23,source-24,,,,,,,,,,
24,source-25,,,,,,,,,,
25,source-26,,,,,,,,,,
26,source-27,,,,,,,,,,
27,source-28,,,,,,,,,,
28,source-29,,,,,,,,,,
29,source-30,,,,,,,,,,
30,source-31,,,,,,,,,,
31,source-32,,,,,,,,99999.0,,
32,source-33,,,,,,,,,,
33,source-34,,,,,,,,,,
34,source-35,,,,,,,,,,99999.0
35,source-36,,,,,,,,,,
36,source-37,,,,,,,,,,
37,source-38,,,,,,,,,,
38,source-39,,,,,,,,,,
39,source-40,,,,,,,,,,
