,mapID,product-cost,production-capacity
0,source-1,0,0
1,source-2,0,0
2,source-3,0,0
3,source-4,0,0
4,source-5,0,0
5,source-6,163786,1250
6,source-7,0,0
7,source-8,0,0
8,source-9,0,0
9,source-10,0,0
10,source-11,0,0
11,source-12,0,0
12,source-13,0,0
13,source-14,0,0
14,source-15,0,0
15,source-16,0,0
16,source-17,117758,80
17,source-18,0,0
18,source-19,0,0
19,source-20,0,0
20,source-21,150132,95
21,source-22,0,0
22,source-23,0,0
23,source-24,0,0
24,source-25,0,0
25,source-26,0,0
26,source-27,0,0
27,source-28,0,0
28,source-29,0,0
29,source-30,0,0
30,source-31,0,0
31,source-32,0,0
32,source-33,0,0
33,source-34,0,0
34,source-35,0,0
35,source-36,0,0
36,source-37,0,0
37,source-38,0,0
38,source-39,0,0
39,source-40,0,0
